drug1id,drug2id,drug1dose,drug2dose,combination_name,cellid,batchid,viability1,viability2,viability3,viability4,mu/muMax_published,X/X0_published
5-FU,Bortezomib,0.35,0.00045,5-FU & Bortezomib,A2058,1,0.814,0.754,0.765,0.849,0.88,0.847
5-FU,Bortezomib,0.35,0.002,5-FU & Bortezomib,A2058,1,0.792,0.788,0.84,0.852,0.897,0.867
5-FU,Bortezomib,0.35,0.009,5-FU & Bortezomib,A2058,1,0.696,0.831,0.69,0.806,0.854,0.817
5-FU,Bortezomib,0.35,0.04,5-FU & Bortezomib,A2058,1,0.637,0.678,0.625,0.627,0.767,0.724
5-FU,L778123,0.35,0.325,5-FU & L778123,A2058,1,0.679,0.795,0.731,0.7,0.83,0.79
5-FU,L778123,0.35,0.8,5-FU & L778123,A2058,1,0.667,0.734,0.596,0.613,0.773,0.73
5-FU,L778123,0.35,2,5-FU & L778123,A2058,1,0.419,0.426,0.339,0.463,0.563,0.545
5-FU,L778123,0.35,5,5-FU & L778123,A2058,1,0.097,0.146,0.1,0.109,-0.148,0.204
5-FU,MK-5108,0.35,0.075,5-FU & MK-5108,A2058,1,0.733,0.742,0.825,0.702,0.845,0.807
5-FU,MK-5108,0.35,0.225,5-FU & MK-5108,A2058,1,0.487,0.575,0.567,0.533,0.697,0.657
5-FU,MK-5108,0.35,0.675,5-FU & MK-5108,A2058,1,0.201,0.256,0.245,0.213,0.251,0.354
5-FU,MK-5108,0.35,2,5-FU & MK-5108,A2058,1,0.096,0.143,0.119,0.094,-0.132,0.208
5-FU,Sorafenib,0.35,2.5,5-FU & Sorafenib,A2058,1,0.849,0.816,0.91,0.772,0.907,0.879
5-FU,Sorafenib,0.35,5,5-FU & Sorafenib,A2058,1,0.897,0.758,0.85,0.832,0.912,0.885
5-FU,Sorafenib,0.35,10,5-FU & Sorafenib,A2058,1,0.134,0.055,0.143,0.135,-0.018,0.244
5-FU,Sorafenib,0.35,20,5-FU & Sorafenib,A2058,1,0.004,0.003,0.002,0.004,-1.901,0.018
5-FU,geldanamycin,0.35,0.0223,5-FU & geldanamycin,A2058,1,0.737,0.705,0.207,0.614,0.789,0.746
5-FU,geldanamycin,0.35,0.1,5-FU & geldanamycin,A2058,1,0.746,0.545,0.621,0.663,0.775,0.732
5-FU,geldanamycin,0.35,0.45,5-FU & geldanamycin,A2058,1,0.712,0.63,0.697,0.649,0.799,0.757
5-FU,geldanamycin,0.35,2,5-FU & geldanamycin,A2058,1,0.642,0.707,0.663,0.616,0.783,0.74
ABT-888,MK-8776,0.35,0.0925,ABT-888 & MK-8776,A2058,1,0.83,0.861,0.829,0.741,0.905,0.877
